#{"t_start": 1784295926.6067815, "env_id": "LunarLander-v3"}
r,l,t
-136.124349,100,0.027737
-136.493392,122,0.058553
-63.971389,112,0.086347
-83.039302,107,0.112844
-45.747765,70,0.129993
-71.839676,86,0.151379
-120.432122,104,0.176514
-221.964268,86,0.197331
-144.006323,87,0.22017
-337.997715,141,0.257064
-94.388122,78,0.276118
-69.191647,112,0.304164
-115.622867,54,0.317698
-40.600969,70,0.334689
-312.77192,103,0.361384
-121.911247,83,0.381916
-83.948529,127,0.413527
-329.920648,119,0.443011
-177.151359,65,0.458662
-240.220509,116,0.487604
17.444331,74,0.506477
-295.345559,84,0.838134
-115.548178,149,0.877559
-184.273028,79,0.89725
2.776293,78,0.917662
-33.901577,64,0.933558
-228.908885,63,0.949546
-387.507267,83,0.970189
-162.574067,80,0.989973
-168.78214,73,1.008538
-128.712688,87,1.030486
-241.868146,103,1.055492
-221.935623,108,1.083151
-120.552629,70,1.1006
-192.351915,79,1.120639
-81.632477,82,1.141754
-278.00373,69,1.158807
-84.362869,61,1.174048
-133.390148,66,1.190379
-259.234811,77,1.209497
-125.733596,92,1.232414
-184.100469,106,1.259531
-8.181262,82,1.280558
-107.232617,92,1.303436
-239.3339,90,1.325205
-109.043832,111,1.668442
-203.213365,117,1.699244
-94.860376,93,1.722116
-48.177353,67,1.738774
-82.909037,96,1.763486
-172.012457,120,1.795565
-117.49423,75,1.814249
-16.270555,86,1.835663
-224.007481,122,1.867407
-149.170712,124,1.900338
-269.909005,136,1.93501
-118.448699,101,1.960842
-127.840909,135,1.996688
-142.658223,102,2.022491
-63.937152,125,2.055342
-104.54409,90,2.077832
-109.044387,76,2.096888
-303.098866,110,2.125234
-296.497336,128,2.159005
-453.993744,105,2.498435
-97.763124,130,2.533154
-111.207895,80,2.554032
-128.240047,156,2.596275
-303.562601,159,2.63925
-71.726128,94,2.664117
-57.356357,95,2.688348
-158.450226,82,2.709492
-129.198065,163,2.754454
-381.661143,98,2.780777
-220.48551,139,2.817879
-220.273123,122,2.850157
-275.450281,128,2.883963
-193.175947,103,2.910712
-115.640222,101,2.937175
-224.772798,105,2.963624
-133.393392,124,2.996086
-127.209971,172,3.355205
-153.164786,85,3.377517
-94.082261,93,3.402399
-117.208887,94,3.42695
-109.119164,104,3.454059
-109.351286,185,3.506118
-223.812425,137,3.542604
-177.731221,163,3.587309
-108.827807,91,3.610894
-130.937885,110,3.639762
-253.006875,105,3.666694
-434.288438,92,3.690873
-257.681879,104,3.717921
-114.088923,99,3.742812
-170.192741,139,3.780177
-298.571623,113,3.810013
-19.430966,74,3.828939
-61.413952,134,3.864926
-131.925518,123,4.209338
-134.445264,99,4.236048
-190.187901,139,4.272393
-64.85029,122,4.304847
-101.925581,95,4.329921
-66.438303,205,4.389808
-78.31864,125,4.423154
-117.879247,195,4.479082
-45.518046,109,4.50806
-24.682269,155,4.550619
-154.824054,100,4.576404
-326.118671,117,4.606696
-10.313854,126,4.640722
14.468906,133,4.676368
-182.176413,96,4.701797
-161.595368,137,4.740123
-146.389083,127,5.090971
-3.509439,135,5.128978
-421.037749,190,5.183785
-289.898217,218,5.250016
-50.057019,159,5.294592
-211.807694,184,5.347762
-98.678689,152,5.389971
-168.101738,114,5.421006
-249.41502,169,5.470709
-17.655193,116,5.502504
-176.637083,218,5.567561
-183.991627,223,5.636392
-37.523639,97,5.66185
-215.454805,170,6.029428
-193.568587,193,6.088638
-46.009466,275,6.178901
-234.515347,274,6.269318
-240.394919,193,6.329581
-17.670876,168,6.379434
-496.026526,208,6.442143
-444.124309,215,6.507237
82.349228,1000,7.465874
4.013206,224,7.537144
-164.192054,197,7.596072
-24.685037,268,7.685657
-233.935163,244,7.76417
-129.295174,192,7.823729
-240.713062,355,8.273074
-106.555739,265,8.361204
-166.487067,202,8.4213
39.186082,169,8.471464
-4.658264,332,8.599466
-309.16404,267,8.696447
44.435079,1000,9.663977
