train_seed,mean_reward,total_timesteps,training_duration_s,candidate_id
242,221.23516293333336,300000,310.8780447659956,gamma_g004
342,209.39849183333337,300000,319.28112122497987,gamma_g004
442,239.03931403333337,300000,323.1191368679865,gamma_g004
542,231.97308066666668,300000,303.8385628630058,gamma_g004
642,247.1657791333333,300000,274.51764329499565,gamma_g004
242,253.8048974333333,300000,285.1700065820187,broad_t068
342,242.00995206666664,300000,254.16734252500464,broad_t068
442,256.0594016333334,300000,317.74744225799805,broad_t068
542,233.2855845,300000,314.0789681680035,broad_t068
642,155.2863513,300000,325.11435699500726,broad_t068
242,-23.7555577,300000,326.7374782199913,broad_t110
342,172.48124580000004,300000,317.69620361199486,broad_t110
442,240.59226206666668,300000,304.08278267199057,broad_t110
542,266.82603889999996,300000,272.42700961697847,broad_t110
642,231.80365706666666,300000,308.62640437699156,broad_t110
242,156.45781270000003,300000,332.4062265610264,broad_t078
342,189.1133447333333,300000,315.6871615560085,broad_t078
442,165.432559,300000,314.250957501994,broad_t078
542,200.20673003333326,300000,292.3286555200175,broad_t078
642,236.43191513333332,300000,243.52465002899407,broad_t078
242,96.62366060000001,300000,236.4444374210143,broad_t089
342,227.67202193333335,300000,236.36482634898857,broad_t089
442,165.72699296666667,300000,257.0831002279883,broad_t089
542,210.08408673333332,300000,257.99100183701375,broad_t089
642,193.92105776666668,300000,249.06428189601866,broad_t089
