number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_one_minus_gamma,params_vf_coef,user_attrs_duration_s,user_attrs_gamma,user_attrs_n_train_seeds,user_attrs_score_min,user_attrs_score_std,user_attrs_seed_scores,state
17,-2515.1694321999994,2026-07-21 10:24:01.831987,2026-07-21 10:24:38.542116,0 days 00:00:36.710129,128,0.3,5.889800681926988e-06,0.9,0.00037539641472465334,1.0,3,4096,0.001350840763217891,0.5,,,,,,,PRUNED
18,-1868.515914,2026-07-21 10:24:04.572121,2026-07-21 10:24:37.340991,0 days 00:00:32.768870,64,0.3,0.0001550977647392921,0.98,7.238766660271432e-05,0.3,5,512,0.002669236096119637,1.0,,,,,,,PRUNED
19,-233.31382760000002,2026-07-21 10:24:18.192058,2026-07-21 10:25:20.005808,0 days 00:01:01.813750,128,0.2,1.5051674068078837e-06,1.0,0.00013905968007676842,1.0,20,4096,0.0050764238386281635,1.0,,,,,,,PRUNED
20,122.02065942499999,2026-07-21 10:24:28.594368,2026-07-21 10:28:11.065989,0 days 00:03:42.471621,256,0.3,0.00025658557394973885,1.0,0.0008917819088555647,0.5,20,2048,0.0008287106381331574,0.5,222.31595181601006,0.9991712893618668,2.0,105.2362381,16.784421325000004,"[105.2362381, 138.80508075]",COMPLETE
21,-347.80678040000004,2026-07-21 10:24:30.630972,2026-07-21 10:25:37.403676,0 days 00:01:06.772704,64,0.3,1.9984579812482955e-05,0.98,0.00025414234871633175,0.3,10,1024,0.003195374614531466,0.25,,,,,,,PRUNED
22,-184.1363126,2026-07-21 10:24:32.774321,2026-07-21 10:25:39.228648,0 days 00:01:06.454327,256,0.3,0.00026879172607293945,0.9,0.0020067605854186795,0.5,3,1024,0.0017485515610984258,0.25,,,,,,,PRUNED
23,-51.978937450000004,2026-07-21 10:24:33.448574,2026-07-21 10:27:44.419731,0 days 00:03:10.971157,256,0.1,2.6070961237541877e-08,1.0,8.021595442820286e-05,1.0,20,4096,0.0011186930553596542,0.5,190.82366851897677,0.9988813069446404,2.0,-83.82257375,31.8436363,"[-20.135301150000004, -83.82257375]",COMPLETE
24,-137.48769169999997,2026-07-21 10:24:33.849226,2026-07-21 10:26:07.396191,0 days 00:01:33.546965,256,0.3,2.786662491695151e-05,1.0,0.0029976859644593357,1.0,10,1024,0.0006012392109643241,0.5,,,,,,,PRUNED
25,-2142.1688804,2026-07-21 10:24:36.955833,2026-07-21 10:26:01.982185,0 days 00:01:25.026352,64,0.2,2.1561451273738696e-07,0.95,7.237453184384585e-05,1.0,20,2048,0.001215967023066312,0.25,,,,,,,PRUNED
26,-177.70019729999999,2026-07-21 10:24:37.359354,2026-07-21 10:25:42.510499,0 days 00:01:05.151145,256,0.2,4.297634178756034e-07,1.0,0.00037766250120961387,1.0,20,2048,0.001437897295997059,0.25,,,,,,,PRUNED
