number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_one_minus_gamma,params_vf_coef,user_attrs_duration_s,user_attrs_gamma,user_attrs_n_train_seeds,user_attrs_score_min,user_attrs_score_std,user_attrs_seed_scores,state
85,150.01671604999999,2026-07-21 10:34:47.659268,2026-07-21 10:38:37.460441,0 days 00:03:49.801173,64,0.3,0.01256446721557145,0.95,0.0015531869431687072,0.3,20,2048,0.00012690130472397312,1.0,229.73145986700547,0.9998730986952761,2.0,38.147348750000006,111.8693673,"[38.147348750000006, 261.88608335]",COMPLETE
86,14.158667700000004,2026-07-21 10:34:55.564455,2026-07-21 10:35:37.871238,0 days 00:00:42.306783,64,0.3,0.0010206693305336231,0.95,0.0015957862398849232,0.3,5,2048,0.00012690504603447348,1.0,,,,,,,PRUNED
87,-99.79829260000001,2026-07-21 10:34:55.835369,2026-07-21 10:35:22.587634,0 days 00:00:26.752265,64,0.1,0.017197236705157586,0.95,0.0016388003300925789,0.3,5,2048,0.00012186498945510113,1.0,,,,,,,PRUNED
88,-127.5672024,2026-07-21 10:34:56.181364,2026-07-21 10:35:35.249652,0 days 00:00:39.068288,128,0.1,0.01534384948733875,0.95,0.0021649843613421246,0.3,20,2048,0.00012409437589171217,1.0,,,,,,,PRUNED
89,213.78037954999996,2026-07-21 10:35:12.838064,2026-07-21 10:38:07.853304,0 days 00:02:55.015240,128,0.1,0.01752174401206402,0.95,0.001617173398532327,0.3,20,2048,0.00012440060560081251,1.0,174.94387012399966,0.9998755993943992,2.0,170.06941649999996,43.71096305000002,"[170.06941649999996, 257.4913426]",COMPLETE
90,-61.37961850000001,2026-07-21 10:35:14.563721,2026-07-21 10:35:51.170056,0 days 00:00:36.606335,128,0.1,0.013498377355045402,0.95,0.0021543619049533133,0.3,20,2048,0.0001256007666524805,1.0,,,,,,,PRUNED
91,-18.9831852,2026-07-21 10:35:22.597972,2026-07-21 10:36:08.133932,0 days 00:00:45.535960,128,0.1,0.0008151251624258448,0.95,0.0021906163664327113,0.3,20,2048,0.00022113110434962525,1.0,,,,,,,PRUNED
92,-6.391374400000002,2026-07-21 10:35:23.129650,2026-07-21 10:36:03.101928,0 days 00:00:39.972278,128,0.1,0.01268285712829676,0.95,0.002255043998680411,0.3,20,4096,0.00021195013778023495,1.0,,,,,,,PRUNED
93,-51.2236735,2026-07-21 10:35:26.878454,2026-07-21 10:36:11.621752,0 days 00:00:44.743298,128,0.1,0.012020646976006416,0.95,0.0015746753983376036,0.3,20,4096,0.00021944473946573914,1.0,,,,,,,PRUNED
94,-120.17996639999998,2026-07-21 10:35:35.261852,2026-07-21 10:36:19.327770,0 days 00:00:44.065918,128,0.1,0.010004677691630147,0.95,0.001584678767096911,0.3,20,2048,0.00022461673250519533,1.0,,,,,,,PRUNED
95,-132.3503478,2026-07-21 10:35:37.882595,2026-07-21 10:36:15.619871,0 days 00:00:37.737276,128,0.1,0.011988476993559401,0.95,0.002160215679061722,0.3,20,4096,0.00016178487346452875,1.0,,,,,,,PRUNED
96,-84.1044883,2026-07-21 10:35:46.721237,2026-07-21 10:36:25.301158,0 days 00:00:38.579921,128,0.1,0.011591431653398373,0.95,0.0021503861979860536,0.3,20,4096,0.0002190236760096698,1.0,,,,,,,PRUNED
97,5.042706700000002,2026-07-21 10:35:51.180963,2026-07-21 10:36:28.205720,0 days 00:00:37.024757,128,0.1,0.010960865952008262,0.95,0.0017700873296624627,0.3,20,4096,0.00022021101546571798,1.0,,,,,,,PRUNED
98,14.7985975,2026-07-21 10:36:04.644766,2026-07-21 10:36:44.172112,0 days 00:00:39.527346,128,0.1,0.0027913702446003196,0.95,0.0011935991303923192,0.3,20,2048,0.00022380078873020427,1.0,,,,,,,PRUNED
99,164.914965925,2026-07-21 10:36:08.144092,2026-07-21 10:38:36.682908,0 days 00:02:28.538816,128,0.1,0.0023428389232260202,0.95,0.001201927324342205,0.3,20,2048,0.0001614078818072097,1.0,148.46983402001206,0.9998385921181928,2.0,152.7475146,12.167451325000016,"[177.08241725000002, 152.7475146]",COMPLETE
100,-89.8315417,2026-07-21 10:36:09.954036,2026-07-21 10:36:49.444380,0 days 00:00:39.490344,128,0.1,0.00015995573130376267,0.95,0.001252146480889299,0.3,20,4096,0.00016923962697874603,1.0,,,,,,,PRUNED
101,29.1007514,2026-07-21 10:36:11.633343,2026-07-21 10:36:46.937402,0 days 00:00:35.304059,128,0.1,0.0025828491975124985,0.95,0.0012034943854493366,0.3,20,2048,0.00017506224051408163,1.0,,,,,,,PRUNED
102,-152.4714871,2026-07-21 10:36:15.630962,2026-07-21 10:36:43.504923,0 days 00:00:27.873961,128,0.1,0.0024789837392396453,0.95,0.0017838489900601849,0.3,10,2048,0.00017366947194064766,1.0,,,,,,,PRUNED
103,11.307524,2026-07-21 10:36:19.338137,2026-07-21 10:36:48.973084,0 days 00:00:29.634947,128,0.1,0.00014849784907351648,0.95,0.0011991123452739037,0.3,10,2048,0.0001636929131840604,1.0,,,,,,,PRUNED
104,-56.2004015,2026-07-21 10:36:25.312764,2026-07-21 10:36:52.945066,0 days 00:00:27.632302,128,0.1,0.0011851648990912828,0.95,0.0019266790256105926,0.3,10,2048,0.00017661713094115528,1.0,,,,,,,PRUNED
105,-97.0975578,2026-07-21 10:36:28.215724,2026-07-21 10:36:56.777288,0 days 00:00:28.561564,128,0.1,0.000145448836049745,0.95,0.0012050087602979661,0.3,10,2048,0.0001694630401919418,1.0,,,,,,,PRUNED
106,28.13492255000002,2026-07-21 10:36:39.968149,2026-07-21 10:38:53.452129,0 days 00:02:13.483980,128,0.1,0.00016334521012186808,0.95,0.0012276381298910297,0.3,10,2048,0.00018088255539938658,1.0,133.41496871001436,0.9998191174446006,2.0,-94.15829805,122.29322060000001,"[150.42814315000004, -94.15829805]",COMPLETE
107,-308.0562335000001,2026-07-21 10:36:43.514753,2026-07-21 10:37:10.339471,0 days 00:00:26.824718,128,0.1,0.00017241230102839344,0.95,0.001254901752580477,0.3,10,2048,0.00013944948049376615,1.0,,,,,,,PRUNED
108,-3413.4658934,2026-07-21 10:36:44.182800,2026-07-21 10:37:05.090144,0 days 00:00:20.907344,128,0.1,0.00016338555082945333,0.95,0.0012747225710491303,0.3,3,2048,0.000135399288451519,1.0,,,,,,,PRUNED
109,-946.5183019,2026-07-21 10:36:52.955141,2026-07-21 10:37:13.682069,0 days 00:00:20.726928,256,0.1,6.603569844607915e-07,0.95,0.002542695083611352,0.3,3,2048,0.00014086926380303577,1.0,,,,,,,PRUNED
110,224.21844055000003,2026-07-21 10:37:05.100899,2026-07-21 10:39:30.742116,0 days 00:02:25.641217,128,0.1,0.007439874604576956,0.95,0.002459397781942033,0.5,20,2048,0.00010398517584166351,1.0,145.57308431097772,0.9998960148241584,2.0,186.87635175,37.34208880000001,"[186.87635175, 261.56052935]",COMPLETE
111,-155.4459311,2026-07-21 10:37:10.413617,2026-07-21 10:37:36.284656,0 days 00:00:25.871039,128,0.1,2.5758861008553195e-05,1.0,0.0008039748807061683,0.3,20,2048,0.0001918026657188189,1.0,,,,,,,PRUNED
112,86.13796712500002,2026-07-21 10:37:36.294135,2026-07-21 10:39:49.917496,0 days 00:02:13.623361,128,0.1,0.006986468455906799,0.95,0.0014861823188262438,0.5,20,2048,0.0003517201243260652,1.0,133.56713942499482,0.999648279875674,2.0,79.0776475,7.060319625000012,"[79.0776475, 93.19828675000002]",COMPLETE
113,85.2075758,2026-07-21 10:38:07.862249,2026-07-21 10:39:12.920286,0 days 00:01:05.058037,128,0.3,0.007589098346370946,0.95,0.001037410656892612,0.5,20,2048,0.00036263752088686377,1.0,,,,,,,PRUNED
114,79.99578119999998,2026-07-21 10:38:37.469456,2026-07-21 10:39:25.295374,0 days 00:00:47.825918,128,0.2,0.00449942637068422,0.9,0.0006680864057329287,0.5,20,2048,0.0005125551752111175,1.0,,,,,,,PRUNED
115,204.82534354999999,2026-07-21 10:38:53.459549,2026-07-21 10:41:01.574929,0 days 00:02:08.115380,128,0.1,0.007463737233576227,0.95,0.0013684676319433353,0.5,20,2048,0.00010746413600083258,1.0,128.05972265900346,0.9998925358639992,2.0,190.54642545,14.278918099999999,"[219.10426164999998, 190.54642545]",COMPLETE
116,-15.2985273,2026-07-21 10:39:12.928684,2026-07-21 10:39:45.341530,0 days 00:00:32.412846,128,0.1,0.004719331959768041,0.95,0.001025690326637076,0.3,20,2048,0.00011101547425705009,1.0,,,,,,,PRUNED
117,-73.0240265,2026-07-21 10:39:25.302852,2026-07-21 10:39:52.304369,0 days 00:00:27.001517,128,0.1,0.006239829744045366,0.95,0.001025102358999264,0.3,20,2048,0.00010704802826478714,1.0,,,,,,,PRUNED
118,-99.0167231,2026-07-21 10:39:49.924401,2026-07-21 10:40:12.094309,0 days 00:00:22.169908,128,0.1,0.005724844831084274,1.0,0.0027465362441642474,0.5,20,2048,0.00010501358307943218,0.5,,,,,,,PRUNED
119,146.62487314999998,2026-07-21 10:41:01.583193,2026-07-21 10:43:03.720611,0 days 00:02:02.137418,256,0.1,0.0033153051412739285,0.95,0.0020165065348881754,0.5,20,2048,0.00019775421016104825,1.0,122.07200384300086,0.999802245789839,2.0,98.8433618,47.78151135,"[194.4063845, 98.8433618]",COMPLETE
