experiment_id,seed,selection_mean_reward,training_duration_s
ppo_optuna_v2_s902,902,265.53414912,1089.6078146350046
ppo_optuna_v2_s901,901,258.03643300000005,1102.3429312439985
ppo_optuna_v2_s900,900,254.94641386000004,1236.6431015990092
