#{"t_start": 1784295168.3689306, "env_id": "LunarLander-v3"}
r,l,t
-136.124349,100,0.027484
-136.493392,122,0.05753
-63.971389,112,0.084408
-83.039302,107,0.110438
-45.747765,70,0.127312
-71.839676,86,0.148591
-120.432122,104,0.17324
-221.964268,86,0.193838
-144.006323,87,0.215668
-337.997715,141,0.251521
-94.388122,78,0.270693
-69.191647,112,0.29852
-115.622867,54,0.311094
-40.600969,70,0.328443
-312.77192,103,0.354116
-121.911247,83,0.374156
-83.948529,127,0.405467
-329.920648,119,0.434205
-177.151359,65,0.449629
-240.220509,116,0.47826
17.444331,74,0.496172
-295.345559,84,0.686688
-129.824271,148,0.725341
-196.116514,113,0.753201
-80.767905,62,0.768355
-144.70629,73,0.786575
-112.860394,97,0.810462
-283.12487,100,0.834334
-8.410668,86,0.855479
-136.842279,72,0.873565
-93.761095,70,0.890613
-136.878107,70,0.907631
-239.381875,85,0.929211
-319.980976,101,0.954173
-79.238429,68,0.971191
-211.296237,105,0.999048
-100.725543,76,1.018333
-349.689102,112,1.046734
-371.15041,102,1.072568
-233.63389,80,1.091747
-338.974604,99,1.116102
-103.440655,77,1.135183
-93.947371,68,1.152976
-441.959343,119,1.182697
-477.005889,98,1.379135
-220.293963,70,1.396921
-173.304724,82,1.41621
-284.806519,118,1.444871
-166.229708,107,1.471578
-88.445832,63,1.487053
-252.618852,95,1.509757
-61.349973,72,1.526757
-87.217123,91,1.549517
-82.764864,86,1.570863
-83.737704,88,1.593046
-61.116825,61,1.607631
-387.163101,103,1.632735
-173.673842,95,1.656347
-129.175218,119,1.686507
-152.631791,98,1.710994
-170.882305,118,1.740207
-352.600196,96,1.763922
-224.488625,85,1.784688
-248.950299,107,1.811131
-101.960953,98,1.835171
-87.023651,63,1.850175
-280.646714,126,2.051509
-150.511857,134,2.085671
-91.586259,70,2.102874
-134.778353,101,2.127782
-211.79158,102,2.153564
-205.129534,70,2.170827
-178.393409,120,2.202649
-114.483579,104,2.229898
-114.169568,125,2.263629
-275.431142,123,2.294846
-277.234774,92,2.318083
-348.293995,106,2.344938
-94.418064,92,2.367909
-103.429489,87,2.390136
-100.663038,108,2.416917
-121.649299,103,2.442661
-214.352815,90,2.465141
-35.368918,101,2.490256
-83.966221,64,2.505769
-325.313859,142,2.542959
-244.059398,123,2.746059
-84.822506,179,2.794003
-372.37031,102,2.819936
-73.511486,90,2.842232
-84.37335,82,2.862766
-109.295899,144,2.899505
-65.109094,83,2.92102
-213.003041,146,2.958518
-166.379646,119,2.988283
-125.731621,86,3.009686
-222.746337,131,3.043911
-191.367054,123,3.076066
-336.798819,100,3.100462
-191.61067,113,3.129559
-139.401571,104,3.155996
-85.675866,126,3.188976
-51.644188,136,3.224875
-137.547838,135,3.435869
-101.007324,107,3.463668
-176.235365,106,3.490118
-187.150736,139,3.526328
-391.719513,147,3.565856
-102.289416,137,3.602016
-184.499246,118,3.63287
-81.242674,104,3.659943
-146.768291,126,3.692071
-98.689769,83,3.712606
-46.502407,141,3.749406
-52.180415,95,3.774094
-189.493881,92,3.796407
-64.508891,92,3.819798
-148.815371,125,3.853007
-43.378549,81,3.873639
-122.564617,83,3.894481
-142.109284,73,3.913775
-127.476494,138,3.949452
-90.06575,124,4.156058
-232.357137,173,4.203558
-109.2948,85,4.224744
-67.537348,103,4.250629
-273.242313,146,4.289
-48.612612,76,4.307835
-98.181549,90,4.330667
-160.200851,144,4.368096
-92.204183,82,4.388968
-46.588017,143,4.42665
-171.2703,194,4.480591
-154.832121,178,4.530473
