#{"t_start": 1784297659.7965605, "env_id": "LunarLander-v3"}
r,l,t
91.303205,1000,29.464051
124.909949,1000,29.954285
84.206712,1000,30.934265
226.740088,440,31.148085
236.941311,330,31.268758
26.674549,139,31.307719
128.954863,1000,32.326737
-6.260114,270,32.40804
188.595723,302,32.524963
241.893815,471,32.692164
2.065581,149,32.734174
125.584971,1000,33.651733
14.900483,254,33.734201
-25.879545,242,33.810887
19.73907,227,33.879645
4.87602,153,33.922626
233.53171,297,34.022833
-21.012165,275,34.114097
217.920122,314,34.221947
110.824337,1000,35.040176
16.406513,133,35.076837
28.925612,173,35.126203
131.719443,1000,36.132384
36.459143,157,36.177511
210.882005,993,36.67769
-3.241913,171,36.72587
-8.408204,117,36.758255
-17.083291,149,36.798438
149.73447,1000,37.708367
127.584392,1000,38.284935
161.046046,1000,39.146687
142.685243,1000,39.8392
9.81574,174,39.888965
-51.763693,156,40.250186
68.625597,245,40.325746
44.914025,231,40.400076
-31.423095,139,40.438087
59.89441,234,40.509252
-21.566337,139,40.547741
25.44017,249,40.624219
10.977789,168,40.672127
-46.667257,164,40.718431
132.299392,1000,41.65044
-0.838266,146,41.692034
139.627818,1000,42.526097
-21.858142,186,42.579994
62.717543,276,42.988297
38.064962,263,43.069055
156.502696,1000,43.640779
0.789349,197,43.698464
-7.651067,192,43.752978
-19.690609,198,43.809187
-26.601636,160,44.169512
7.083083,161,44.215072
-28.44225,195,44.271353
51.343015,203,44.332913
-39.64251,160,44.377774
52.428891,254,44.456455
43.177926,188,44.511632
43.796121,218,45.254092
-43.752517,163,45.298842
13.152984,142,45.337828
45.974887,223,45.404052
-6.168036,163,45.765838
160.515235,1000,46.367772
-3.633752,166,46.416083
158.193854,1000,47.274022
106.928858,1000,47.862231
52.833886,220,47.92819
133.998799,1000,48.89505
-28.49023,176,48.94385
34.803517,306,49.05334
140.67985,1000,49.591342
112.562784,1000,50.552443
14.275132,210,50.614934
-58.705769,279,50.704182
249.620701,343,50.85774
-4.571634,181,50.909262
0.022511,193,50.963101
231.739295,313,51.381242
25.233671,197,51.442258
25.94864,187,51.496853
-56.665446,163,51.542655
4.97417,195,51.598721
58.290971,196,51.655964
-0.169764,169,51.702274
-35.944386,167,51.74793
17.842268,216,51.810057
-7.971639,152,51.851538
-41.306771,329,52.262909
-6.825167,180,52.31278
-6.445129,164,52.358038
38.828175,214,52.421301
134.015885,1000,52.927202
-21.875342,185,52.980575
133.01033,1000,53.790458
-64.530101,219,53.85407
-15.522517,181,53.904575
-22.509856,195,53.959743
43.088209,237,54.029306
237.190419,396,54.506209
-58.214034,161,54.550622
-58.156242,175,54.599279
-6.75287,176,54.648794
-10.515964,150,54.689354
9.468184,208,54.752576
1.190795,165,54.798318
-36.852711,137,54.835778
-46.404504,146,54.875668
206.330383,259,54.954939
-43.784782,184,55.006547
259.904804,301,55.415656
-18.716534,151,55.458357
3.12226,140,55.496597
8.106345,156,55.539587
158.502407,330,55.656284
-11.162036,189,55.710381
138.376272,1000,56.603406
121.202847,1000,57.082655
-53.154221,175,57.132692
19.559407,211,57.196647
200.367895,747,57.875183
-8.698107,184,57.926503
-11.722902,166,57.972556
131.874538,1000,58.628237
7.83204,160,58.673913
219.611226,486,59.168032
-23.415347,152,59.209576
-37.316972,203,59.270258
-25.494209,173,59.318063
192.648369,472,59.515083
-27.638149,135,59.55171
47.450206,202,59.609694
133.747164,1000,60.879091
20.498988,185,60.93157
53.601932,206,60.990784
-24.969127,252,61.064031
201.112421,290,61.159034
99.662224,1000,61.898081
28.992348,186,61.951675
199.612245,315,62.05133
29.016703,195,62.107517
84.682024,1000,62.643111
-24.149759,244,63.027196
-36.99035,137,63.063344
131.05018,1000,63.656578
-86.445059,140,63.695811
-24.962117,146,63.737744
199.286089,665,64.351912
3.275888,124,64.385749
13.271341,157,64.429502
3.45637,126,64.463372
-45.193739,154,64.506001
138.791628,1000,65.093288
-39.581087,114,65.124078
-6.177954,201,65.181542
-14.452434,123,65.527955
6.137601,135,65.564814
-57.742088,196,65.621136
14.116323,184,65.673022
-112.397353,285,65.761317
-16.523397,210,65.823598
125.682494,1000,66.568456
127.047319,1000,67.027685
-46.540012,176,67.078087
219.947128,240,67.148678
98.278488,1000,67.965928
-29.77559,103,67.99292
142.72265,1000,68.559292
32.329299,160,68.603761
-37.360581,163,68.64711
1.966652,232,69.025882
4.24685,141,69.064188
-36.760663,249,69.137025
185.33828,489,69.322831
18.336124,141,69.361614
-23.296154,128,69.395465
-8.509172,133,69.431182
194.69784,298,69.539179
-26.457242,144,69.577855
221.387605,302,69.989246
77.492465,1000,70.360225
199.697666,280,70.453927
-28.630695,160,70.497942
-0.896808,147,70.537157
-8.821368,137,70.573203
224.22471,339,71.016659
-151.427383,378,71.130136
-28.685201,153,71.171764
206.865099,273,71.259112
116.619714,1000,71.789549
156.263732,1000,72.679049
-41.979611,139,72.717482
-59.845145,142,72.75605
179.220223,283,72.86254
127.422049,1000,73.653635
-56.275101,279,73.733569
-13.478254,104,73.761022
-5.35239,131,73.796003
152.642675,1000,74.432023
17.803955,232,74.811488
-44.026555,334,75.479543
110.551308,1000,75.948102
-44.030806,292,76.04086
25.939645,182,76.09093
-11.962141,150,76.131875
-30.993427,138,76.480142
50.417831,199,76.535056
-12.332916,225,76.600172
-4.384775,137,76.637184
-47.44246,143,76.675991
113.178399,1000,77.231792
139.315869,1000,78.029492
140.620451,1000,78.643159
155.267029,1000,79.457471
-45.743374,145,79.497146
201.989452,300,79.597308
-54.504941,126,79.633405
242.260472,242,79.714722
109.805305,1000,80.503437
123.048697,1000,80.995198
176.481003,523,81.20032
-13.633134,133,81.554339
-30.914863,235,81.625627
157.402352,1000,82.308446
116.870985,1000,83.23047
-48.635374,129,83.266644
-12.68711,147,83.307795
-14.467029,125,83.34176
201.096318,795,83.722894
42.938332,199,83.780391
-31.798946,137,83.818949
195.426991,449,84.342498
-29.778669,116,84.374031
29.346068,167,84.420316
-55.117011,219,84.486931
-28.260508,127,84.521856
-26.640292,158,84.565269
188.721896,328,84.702231
-11.386168,159,84.747383
189.893897,257,84.833105
8.521774,149,84.874983
-19.159792,150,84.916667
108.848817,1000,85.761393
-55.313001,299,85.851861
10.374486,184,85.906901
102.363428,1000,86.900835
-37.179715,106,86.929579
23.511689,172,86.976695
181.137762,247,87.055114
-10.009248,158,87.0975
-3.715511,192,87.15149
-17.992784,143,87.190408
-52.661794,273,87.277151
9.973224,136,87.313133
-22.716093,113,87.342707
237.137689,287,87.753113
-177.913261,341,87.880867
-14.651142,159,87.924428
209.503785,362,88.071261
236.916801,385,88.232223
12.135113,144,88.271646
-16.042065,156,88.313751
106.984808,1000,89.271746
98.589204,1000,89.79547
138.179751,460,90.295992
28.333485,172,90.343805
65.690407,1000,91.540319
-19.15197,135,91.577355
-3.437025,164,91.622126
-28.964385,149,91.663946
165.505509,659,92.237491
37.240213,134,92.274234
107.326241,1000,92.827694
20.159297,193,92.882062
183.311391,453,93.378021
8.344239,130,93.413316
-5.374098,139,93.450356
7.087644,146,93.489366
-41.751802,137,93.526162
150.092325,1000,94.161117
154.425825,761,95.016235
116.538177,1000,95.625634
-12.061257,125,95.660561
8.675026,274,95.753632
14.129831,173,95.802447
101.90812,863,96.461381
58.059088,1000,97.297648
-89.631903,200,97.355564
-10.920537,156,97.39851
-47.834255,1000,98.599765
19.522731,121,98.633218
-16.504694,122,98.665703
129.690182,741,99.160249
205.97635,330,99.597297
8.791738,136,99.634257
-17.666051,269,99.718312
-19.838817,178,99.769518
25.303182,132,99.805861
50.754808,151,99.848081
113.045722,1000,100.847573
249.880723,721,101.199416
-42.755448,135,101.23662
44.803147,147,101.277622
26.527087,171,101.325335
-3.637262,144,101.364598
266.782163,957,102.134028
-12.742824,176,102.184831
23.106106,159,102.229007
103.195973,1000,102.759112
202.707991,269,102.850945
-44.651753,239,103.241099
248.17829,728,103.56157
-100.603876,700,103.83739
24.558665,145,103.878014
23.984194,152,103.920153
65.567196,146,103.96145
210.719342,288,104.380939
21.002108,160,104.425307
202.604682,876,104.988704
144.873416,1000,105.857438
23.830531,165,105.90463
-42.562705,384,106.028585
189.830425,266,106.121281
123.534497,1000,106.687361
195.190561,224,107.077462
0.620698,148,107.119148
202.099498,244,107.199984
202.308327,546,108.040431
125.211988,1000,109.025337
206.709607,361,109.183617
187.498814,663,109.542629
-48.88384,269,109.627949
31.866329,143,109.668037
229.291241,264,109.753693
194.511261,332,110.212099
-63.379637,319,110.328301
153.654132,436,110.542585
121.190546,1000,111.073908
106.604378,1000,111.959937
218.818796,470,112.174873
-51.189369,441,112.371194
119.29157,1000,113.20787
175.461829,544,113.404228
-45.597649,387,113.530249
237.412583,700,114.232428
233.111002,387,114.401857
182.782116,384,114.551568
178.18885,357,114.694007
255.94873,187,114.749563
195.484285,482,114.939607
209.324483,240,115.328019
210.852952,355,115.47415
27.950235,121,115.506435
137.278296,1000,116.046979
-6.512581,149,116.088271
14.750463,129,116.122484
110.382787,1000,116.946028
186.090334,409,117.091503
-24.559463,124,117.123937
203.594875,360,117.256347
129.882775,1000,118.18696
87.609726,1000,118.822305
206.075574,646,119.530683
149.050175,1000,120.123868
4.474514,135,120.161516
1.694044,233,120.231277
131.671011,1000,121.041298
124.456846,1000,121.611973
196.24848,242,121.693792
1.755954,232,122.087111
-12.621926,140,122.125207
151.083962,1000,122.627656
221.162257,254,122.713366
151.311294,1000,123.687596
53.021905,162,123.733779
48.96682,158,123.777763
179.644836,1000,124.719386
21.818666,230,124.787829
59.35138,113,125.126211
120.901888,1000,125.689695
145.382747,1000,126.578132
-26.308993,110,126.608774
143.786419,1000,127.076874
135.866003,1000,128.059171
12.616723,132,128.094443
32.317958,200,128.151185
22.771831,204,128.207361
132.66778,1000,128.751595
137.44105,1000,129.595281
18.773141,123,129.62848
73.990843,158,129.672477
149.89489,1000,130.13443
135.172364,1000,131.010071
27.008603,240,131.080844
13.399637,194,131.133394
27.452877,186,131.183623
40.53586,159,131.226834
149.532702,1000,132.053572
17.502846,189,132.107429
46.703912,163,132.151752
220.62244,216,132.213857
7.235593,174,132.262104
35.748695,176,132.309425
6.026775,134,132.34444
5.464327,138,132.38101
135.414343,1000,133.337471
34.230293,144,133.376197
153.311798,1000,133.910258
59.276545,199,133.967455
144.28528,1000,134.832149
3.965246,105,134.860226
135.877123,1000,135.706406
144.441213,1000,136.193647
128.016331,1000,136.711912
226.069427,336,137.132043
21.135846,204,137.187798
132.876806,1000,137.809233
27.596889,132,137.845122
118.948502,1000,138.683331
157.631246,1000,139.267279
224.196119,288,139.370777
135.904921,1000,140.252573
155.830487,1000,141.296292
254.315061,271,141.697622
133.385107,1000,142.131878
121.006586,1000,142.911023
135.045952,1000,143.386589
-29.597615,118,143.417563
153.827672,1000,144.107859
153.959033,1000,144.621259
133.24364,1000,145.381268
-7.845769,195,145.435416
255.372453,349,145.586757
155.022059,1000,145.957392
203.863048,285,146.058872
20.847199,212,146.429191
256.36527,289,146.521101
-0.745365,114,146.551046
219.499087,746,146.853637
158.682675,1000,147.653976
-2.568466,130,147.688838
-13.537878,247,147.758556
150.935601,1000,148.346851
198.273525,623,148.871266
-12.514631,118,148.902883
-47.271772,121,148.935097
40.484013,221,148.994173
159.026528,1000,149.538037
-8.834658,134,149.573643
30.803568,124,149.607186
168.514117,1000,150.360573
-26.085166,165,150.406353
-17.371743,143,150.444276
140.413252,1000,151.259267
215.654525,247,151.331514
203.756977,269,151.417983
-2.509904,149,151.457798
128.600628,1000,151.909688
10.065527,249,151.987081
250.533859,637,152.602916
124.545001,1000,153.092492
0.404227,127,153.126527
140.427976,1000,153.938552
269.929296,813,154.270764
250.115188,405,154.435647
158.363499,1000,155.206082
270.941863,488,155.37232
4.943832,110,155.401117
137.970482,1000,156.636994
-28.746723,101,156.662585
129.009241,1000,157.168879
250.654581,342,157.278587
