#{"t_start": 1784295692.53513, "env_id": "LunarLander-v3"}
r,l,t
-136.124349,100,0.027733
-136.493392,122,0.058254
-63.971389,112,0.085467
-83.039302,107,0.111738
-45.747765,70,0.129004
-71.839676,86,0.193672
-148.312912,103,0.219142
-133.015995,70,0.236238
-357.975231,122,0.26773
-336.972435,88,0.289993
-227.282127,131,0.365589
-282.072507,98,0.390637
-199.224147,84,0.411824
-316.582026,89,0.434035
-234.424518,132,0.467963
-214.568938,78,0.52989
-355.455614,88,0.552301
-120.568392,86,0.573073
-98.839931,108,0.600038
-76.365529,70,0.617603
-450.965105,83,0.638265
-163.72355,60,0.695069
-158.302053,134,0.729302
-111.038265,113,0.757527
-247.566066,92,0.780794
-191.900739,122,0.811548
-101.202313,80,0.873856
-165.248342,124,0.905043
-276.615562,121,0.935115
-147.796533,89,0.956774
-283.60601,98,0.982167
-52.96842,94,1.047809
-178.908443,73,1.065955
-107.509839,124,1.098145
-304.121447,122,1.129698
-88.920878,67,1.146663
-111.807286,80,1.208863
-120.919757,103,1.234382
-136.792963,89,1.25627
-160.503169,69,1.273657
-236.542753,100,1.298633
-182.191844,60,1.31285
-478.186582,99,1.380484
-112.419073,83,1.401695
-71.724198,74,1.420244
-144.592891,81,1.43942
-364.132944,127,1.471189
-143.563936,92,1.493955
-124.575822,85,1.557204
-225.916816,102,1.582773
-134.327945,157,1.624356
-77.969958,78,1.643928
-118.830564,106,1.712434
-261.143467,95,1.736755
-120.321848,88,1.758713
-66.367693,70,1.776069
-176.409147,90,1.798549
-114.695729,57,1.812373
-175.78783,88,1.834052
-256.074094,105,1.902404
-292.561979,107,1.928541
-390.624044,104,1.954357
-142.646669,113,1.98272
-251.293603,89,2.004516
-77.993796,113,2.076091
-277.819458,110,2.104492
-54.214268,96,2.12852
-92.043196,91,2.150718
-77.419927,79,2.169946
-267.111527,104,2.238605
-397.907383,94,2.262542
-32.379315,109,2.289515
-69.713034,84,2.310942
-136.328781,81,2.33169
37.223304,99,2.399215
-69.157921,81,2.419785
-373.852701,103,2.445643
-153.98229,69,2.462649
-73.161499,70,2.480128
-92.271631,82,2.500694
-17.972134,65,2.516609
-116.268825,82,2.579776
-180.762746,65,2.596056
-322.203263,90,2.61808
-47.426004,70,2.635348
-42.833833,64,2.650825
-365.99676,143,2.688875
-117.632098,78,2.750531
-61.726964,74,2.768833
-515.923246,112,2.797651
-241.974369,63,2.812888
-99.123713,77,2.832018
-165.542263,61,2.846854
-102.661402,99,2.91298
-74.486161,79,2.93313
-186.182181,97,2.957169
-260.244303,127,2.989427
-143.36817,72,3.006975
-288.823585,95,3.030411
-97.728864,89,3.094754
-118.885164,74,3.113293
12.036499,157,3.154906
-202.570028,95,3.178693
-352.072265,132,3.254739
-100.034601,93,3.27799
-128.611988,114,3.306824
-278.621262,119,3.337467
-84.74695,119,3.367752
-67.376852,61,3.424908
