candidate_id,source,trial_number,parameters_json,mean_reward,std_between_seeds,mean_success_rate,mean_fuel_proxy,mean_episode_length
gamma_t006,gamma_cible,6,"{""batch_size"": 64, ""clip_range"": 0.2, ""ent_coef"": 0.0, ""gae_lambda"": 0.9, ""gamma"": 0.9992, ""learning_rate"": 0.0009895892214995185, ""n_epochs"": 10, ""n_steps"": 2048, ""vf_coef"": 0.5}",183.6000311459505,47.600332820993245,0.8111111111111112,47.22800000000001,369.6111111111111
broad_t016,recherche_large,16,"{""batch_size"": 64, ""clip_range"": 0.2, ""ent_coef"": 0.0, ""gae_lambda"": 0.9, ""gamma"": 0.995, ""learning_rate"": 0.0009895892214995185, ""n_epochs"": 10, ""n_steps"": 2048, ""vf_coef"": 0.5}",180.66987989962493,102.91170889832806,0.7666666666666666,68.4256666666667,460.0333333333333
gamma_t003,gamma_cible,3,"{""batch_size"": 64, ""clip_range"": 0.2, ""ent_coef"": 0.0, ""gae_lambda"": 0.9, ""gamma"": 0.997, ""learning_rate"": 0.0009895892214995185, ""n_epochs"": 10, ""n_steps"": 2048, ""vf_coef"": 0.5}",168.51153548434914,64.2068563347043,0.8111111111111112,64.54433333333323,423.26666666666665
