#{"t_start": 1784295280.8693714, "env_id": "LunarLander-v3"}
r,l,t
-34.738754,88,8.379747
-147.067817,122,8.411302
-30.431396,104,8.438832
-93.648405,167,8.483829
-10.153279,186,8.535491
-272.966327,97,8.561086
-363.874245,186,8.612897
-211.794699,162,8.656617
-80.252583,113,8.685628
-33.106107,138,8.721486
-119.939942,140,8.758347
-62.799528,113,8.786881
-88.477266,131,8.992736
-106.58491,113,9.022089
6.7177,113,9.051491
-119.822841,121,9.084093
-117.21913,109,9.112565
-205.257155,138,9.148091
-28.271793,137,9.184535
-19.675325,131,9.21905
-228.508028,194,9.274637
-58.500782,99,9.300183
-72.734246,100,9.325596
-278.919305,144,9.363634
-118.735692,128,9.398172
-126.958061,129,9.431719
-102.01954,139,9.468507
-221.647658,159,9.511474
-106.489793,159,9.726541
-52.903798,149,9.766713
-113.413482,197,9.822272
-0.723609,99,9.848162
-15.974037,147,9.886325
-70.479886,72,9.904854
-85.947549,161,9.948338
-183.033421,165,9.992943
-25.273324,142,10.030462
-258.138784,190,10.082579
-104.851322,154,10.123041
-40.643119,168,10.16806
-94.178947,166,10.212912
-155.330702,123,10.244284
-25.90898,126,10.448323
-74.066669,148,10.487705
-81.607668,144,10.526149
-61.112059,157,10.569877
-136.700737,109,10.598678
-91.374366,120,10.629246
-179.62074,106,10.656447
-28.774553,167,10.701655
-150.158787,110,10.729891
-56.254531,140,10.768002
-36.846441,200,10.825147
-197.64259,183,10.875914
-21.563805,136,10.912764
-49.483745,177,10.963406
-44.533235,128,11.17006
-91.788953,196,11.226918
-239.314028,174,11.274751
-189.085653,178,11.325638
-34.285152,148,11.365291
-40.397877,182,11.41624
-33.499371,204,11.474435
-31.252892,126,11.508059
-2.476831,207,11.566553
-388.403837,241,11.636339
-157.561499,122,11.667844
-94.136008,147,11.708249
-93.876227,139,11.911556
-30.764513,143,11.94842
-8.680566,134,11.982902
-297.32815,272,12.06793
-187.826684,153,12.107581
-17.091311,141,12.145271
-47.745972,153,12.18534
-12.996711,139,12.221801
-234.007201,90,12.244823
-152.919517,184,12.297376
-157.328429,106,12.324427
-27.517551,190,12.377191
-210.929093,197,12.434483
21.728625,174,12.652699
-67.234819,152,12.694803
-284.251583,214,12.756639
-42.580388,332,12.876301
54.049554,227,12.94471
-278.788969,170,12.991997
-366.18446,200,13.049989
