point_id,gamma,mean,std,min,max,count
gamma_004,0.99976,230.07432008333333,11.586440377323326,220.8085357,243.06511455,3
gamma_005,0.999865,196.0973091333333,63.56701083217578,126.8019088,251.7062947,3
gamma_002,0.99924,184.22778848333337,18.258202367541088,163.24795890000001,196.51965130000002,3
gamma_008,0.999976,181.78490401666667,71.07852021741148,99.71177959999999,223.21860935000004,3
gamma_003,0.999572,180.38089498333332,20.214904743574074,166.32395839999998,203.54764925,3
gamma_007,0.999957,172.58574408333334,58.240511908993696,111.99931355000001,228.15583719999995,3
gamma_006,0.999924,129.27076415000002,111.3901824721177,2.5490987500000046,211.7100504,3
gamma_001,0.998648,118.02885196666666,89.87123858437359,15.345757299999997,182.36947915000002,3
gamma_000,0.997595,103.97641406666666,134.80580445298233,-39.573508399999994,227.88264935,3
