evaluation_id,algorithm,n_episodes,seed_start,mean_reward,std_reward,median_reward,min_reward,max_reward,success_rate,mean_episode_length,mean_fuel_proxy,evaluated_at_utc
ppo_optimized_final_100,PPO,100,10000,198.2820345228889,39.277208538008594,202.2577097934589,-51.82883325170923,250.5726343194356,0.95,610.76,102.05999999999962,2026-07-15T20:06:26.310534+00:00
ppo_optimized_tuning,PPO,50,3000,203.80733067587343,23.796770639495943,200.60084395689108,160.52764570322307,250.892934553302,1.0,588.48,101.03579999999964,2026-07-15T20:36:04.646226+00:00
ppo_optimized_selection,PPO,50,5000,195.8380346678089,33.16529690039617,201.63396426808487,50.75573539374227,246.31743542093025,0.96,623.2,103.90859999999962,2026-07-15T20:36:29.471621+00:00
ppo_gamma_extended_final_100,PPO,100,10000,227.3941297867248,48.36677214496424,239.50142978340463,7.729513929785924,282.11286203329286,0.95,457.46,67.30949999999979,2026-07-15T20:36:39.096454+00:00
ppo_optuna_trial_000_search,PPO,20,2000,-126.1099191134106,25.15016414997856,-128.3773517586716,-167.04428876417705,-67.8948808630379,0.0,1000.0,184.2765000000016,2026-07-17T13:25:38.043769+00:00
ppo_optuna_trial_001_search,PPO,20,2000,70.94383254896113,117.57802947672334,118.29406173129408,-195.47433220034267,222.0778256231174,0.75,711.95,106.4729999999995,2026-07-17T13:26:36.181112+00:00
ppo_optuna_trial_002_search,PPO,20,2000,-472.9313416596971,272.0086299888667,-403.0895433709533,-1440.266902421946,-169.3406919370043,0.0,420.45,78.26249999999986,2026-07-17T13:27:08.528918+00:00
ppo_optuna_trial_003_search,PPO,20,2000,-986.8923497873324,420.8375266173045,-895.0627461123365,-2044.0611211998223,-381.0109858668492,0.0,163.6,46.79849999999991,2026-07-17T13:27:35.820300+00:00
ppo_optuna_trial_004_search,PPO,20,2000,-390.19065060888687,144.34120437108362,-375.1756996887798,-690.4878393029823,-167.42330711868095,0.0,445.4,83.06250000000001,2026-07-17T13:28:11.238028+00:00
ppo_optuna_trial_005_search,PPO,20,2000,-1414.1948336843982,324.3674305308271,-1568.588112139465,-1681.4730724873716,-607.0414333716981,0.0,876.35,165.3675000000012,2026-07-17T13:28:46.666303+00:00
ppo_optuna_trial_006_search,PPO,20,2000,-85.33468757444814,65.74074046283663,-75.50973150385957,-196.88086570128468,117.18378379469937,0.05,251.8,42.973500000000016,2026-07-17T13:29:45.778286+00:00
ppo_optuna_trial_007_search,PPO,20,2000,-1178.5083747167594,481.1090369494341,-1137.986066145174,-2303.108710487931,-362.595579069349,0.0,332.15,73.53599999999975,2026-07-17T13:30:20.282453+00:00
ppo_optuna_trial_008_search,PPO,20,2000,23.87491546894328,86.56371822444174,29.214404306625504,-140.7800034507286,129.9653944401231,0.45,890.7,152.73000000000042,2026-07-17T13:31:20.918541+00:00
ppo_optuna_trial_009_search,PPO,20,2000,-379.9762476151387,88.70942535836772,-396.5501796188445,-538.6083104236411,-197.5097765309612,0.0,550.05,102.41550000000008,2026-07-17T13:32:04.751893+00:00
ppo_optuna_trial_010_search,PPO,20,2000,-267.50759967829674,69.18882359385836,-285.78893332603343,-339.72099709510064,-103.35719143438952,0.0,783.2,144.18600000000043,2026-07-17T13:32:48.140387+00:00
ppo_optuna_trial_011_search,PPO,20,2000,62.72473376695738,91.85797112715323,64.17669634471594,-127.95685289631032,204.2529376295913,0.45,819.2,129.9839999999998,2026-07-17T13:33:50.128106+00:00
ppo_optuna_trial_012_search,PPO,20,2000,-176.84712512297023,50.18137391095917,-190.240326853036,-244.0564838258454,-64.04468114719423,0.0,999.8,184.35300000000163,2026-07-17T13:34:40.654652+00:00
ppo_optuna_trial_013_search,PPO,20,2000,-9.986154827542853,117.0286665752287,6.8527177048174766,-187.6533573304044,145.18406869234929,0.4,916.85,161.4300000000008,2026-07-17T13:35:31.842736+00:00
ppo_optuna_trial_015_search,PPO,20,2000,55.40516033858029,117.01334610449922,96.53784286723156,-113.17781724419144,214.8311397411788,0.6,542.7,87.16499999999975,2026-07-17T13:38:53.950730+00:00
ppo_optuna_trial_016_search,PPO,20,2000,213.04021134311924,58.00793309153971,223.74586546659765,-24.17392623035844,266.4965824910137,0.95,454.6,70.36499999999977,2026-07-17T13:39:51.791947+00:00
ppo_optuna_trial_017_search,PPO,20,2000,-1079.5400364979394,512.3075321929073,-1031.9330485778871,-1996.475716167288,-265.06654949855056,0.0,555.7,106.52699999999996,2026-07-17T13:40:38.819651+00:00
ppo_optuna_trial_018_search,PPO,20,2000,-80.5851546561673,53.7424898686138,-58.8898363697083,-194.9634759529644,-1.4057313106697007,0.0,967.95,178.38450000000137,2026-07-17T13:41:32.308411+00:00
ppo_optuna_trial_019_search,PPO,20,2000,-1474.4588447008018,272.8524197317609,-1605.326205094609,-1812.3813158760709,-624.3500622280768,0.0,272.55,70.28999999999974,2026-07-17T13:42:09.547353+00:00
ppo_optuna_trial_020_search,PPO,20,2000,166.38002498903353,85.05256249857322,203.54397000348376,-69.06252904017106,253.5224508678249,0.8,597.15,86.93399999999984,2026-07-17T13:43:32.616833+00:00
random_baseline,Random,50,100,-213.0397296324235,122.85772745872602,-203.0109149281952,-526.9339978139395,29.644741022350782,0.0,89.54,7.878599999999999,2026-07-17T13:44:11.669995+00:00
dqn_default_baseline,DQN,50,1000,29.849867729339035,132.89874564303284,61.16664357636597,-302.850730312452,209.27929951471447,0.22,837.16,125.3358000000002,2026-07-17T13:44:18.470132+00:00
ppo_default_baseline,PPO,50,1000,41.80738968434613,79.48879767843904,8.955365378092127,-56.81998880436949,219.73232036380563,0.18,917.1,153.39960000000082,2026-07-17T13:44:23.248381+00:00
ppo_gamma_0999_screen,PPO,30,2000,169.4892808152991,86.63974605156098,206.97785514329027,-50.18438248062393,256.34145213806335,0.8,525.4333333333333,77.72099999999982,2026-07-17T13:44:24.979640+00:00
ppo_lr_0001_screen,PPO,30,2000,-606.242770637593,127.5256413471965,-635.4234573653139,-792.6610128441595,-340.82988333750296,0.0,734.0666666666667,137.5460000000002,2026-07-17T13:44:27.267890+00:00
ppo_nsteps_1024_screen,PPO,30,2000,-63.05692379967372,25.943421457415624,-58.83382978236486,-144.32901013388883,-27.14137673204192,0.0,981.9666666666668,174.9280000000011,2026-07-17T13:44:30.273338+00:00
ppo_gamma_extended_tuning,PPO,50,3000,227.4613698659305,50.91762500511253,238.07136572083013,-25.05794247614181,283.208047444114,0.98,440.32,66.71459999999979,2026-07-17T13:44:32.690840+00:00
ppo_gamma_focus_000_search,PPO,20,2000,120.43393018560292,125.25507599526966,192.00342202737272,-93.59798997208424,240.0435001366401,0.65,346.95,51.137999999999934,2026-07-17T13:45:26.402972+00:00
ppo_gamma_focus_001_search,PPO,20,2000,86.62854800856175,110.62649223535504,139.14537534900293,-120.6513957584747,233.31377580079973,0.6,760.65,122.58899999999991,2026-07-17T13:46:24.955179+00:00
ppo_gamma_focus_002_search,PPO,20,2000,135.23337483552513,131.36025717883712,200.1771117452861,-108.01775701418713,244.0393602384368,0.75,555.7,87.65099999999964,2026-07-17T13:47:23.201627+00:00
ppo_gamma_focus_003_search,PPO,20,2000,215.1840251704897,41.18765029920265,228.85582476581305,82.7674668402245,260.5115838881403,1.0,496.55,71.36249999999988,2026-07-17T13:48:18.393494+00:00
ppo_gamma_focus_004_search,PPO,20,2000,143.4418717940269,114.24103507847524,191.9709889610612,-131.0476353424003,242.28624835237963,0.75,469.9,65.7134999999998,2026-07-17T13:49:15.951784+00:00
ppo_gamma_focus_005_search,PPO,20,2000,166.6000185838243,87.82166410804659,204.34766643686885,-66.32544504363904,252.01196148610845,0.85,508.65,75.08249999999983,2026-07-17T13:50:17.993881+00:00
ppo_gamma_focus_006_search,PPO,20,2000,201.8016217836732,57.919097474514,216.1942780498593,-22.153391685413567,260.96970268928624,0.95,505.3,75.8339999999997,2026-07-17T13:51:20.350606+00:00
ppo_gamma_focus_007_search,PPO,20,2000,-11.413078041601151,128.85065570137758,-63.010777806139096,-156.87122017694966,261.6212255461038,0.2,543.1,90.01200000000036,2026-07-17T13:52:19.517917+00:00
