evaluation_id,algorithm,episode_id,seed,total_reward,episode_length,outcome,success,truncated,final_step_reward,final_x,final_y,final_vx,final_vy,final_angle,final_angular_velocity,left_contact,right_contact,fuel_proxy,action_0_count,action_1_count,action_2_count,action_3_count
ppo_optuna_trial_004_search,PPO,0,2000,-338.6818943124166,355,crash,False,False,-100.0,-1.003344178199768,2.806028127670288,-0.5143853425979614,0.1356542408466339,0.0963083952665329,0.004272931255400181,0.0,0.0,66.53999999999986,0,69,207,79
ppo_optuna_trial_004_search,PPO,1,2001,-246.59347312013432,254,crash,False,False,-100.0,-1.0041697025299072,2.2531847953796387,-0.5318393707275391,0.1249149963259697,0.04813810810446739,0.005179663188755512,0.0,0.0,45.95999999999999,0,54,142,58
ppo_optuna_trial_004_search,PPO,2,2002,-228.13055070596457,223,crash,False,False,-100.0,-1.0045419931411743,2.059318780899048,-0.5727406740188599,0.13828344643115997,0.04490193352103233,-0.05158787965774536,0.0,0.0,41.25000000000003,0,46,128,49
ppo_optuna_trial_004_search,PPO,3,2003,-330.7130764080281,380,crash,False,False,-100.0,-1.002769112586975,2.5978612899780273,-0.570075273513794,0.18555520474910736,0.06484156101942062,0.00824840646237135,0.0,0.0,73.76999999999983,0,72,231,77
ppo_optuna_trial_004_search,PPO,4,2004,-300.9116313601663,310,crash,False,False,-100.0,-1.0055474042892456,2.401853561401367,-0.5832955837249756,0.1680702567100525,0.04359995201230049,-0.005510611459612846,0.0,0.0,61.67999999999989,0,60,194,56
ppo_optuna_trial_004_search,PPO,5,2005,-563.6761614432028,618,crash,False,False,-100.0,-1.0047142505645752,4.328888893127441,-0.6140382885932922,0.1669318825006485,0.04959818348288536,-0.03936687856912613,0.0,0.0,115.73999999999955,0,133,360,125
ppo_optuna_trial_004_search,PPO,6,2006,-610.131132086897,688,crash,False,False,-100.0,1.001420259475708,5.312207221984863,0.43153485655784607,0.279655784368515,-0.02183571457862854,-0.0430823490023613,0.0,0.0,125.9399999999995,0,148,390,150
ppo_optuna_trial_004_search,PPO,7,2007,-469.44811702048645,492,crash,False,False,-100.0,1.0003303289413452,4.398398399353027,0.26458775997161865,0.3317803740501404,-0.0834909975528717,-0.040129177272319794,0.0,0.0,91.9799999999997,0,103,286,103
ppo_optuna_trial_004_search,PPO,8,2008,-354.7274110753332,377,crash,False,False,-100.0,-1.0049654245376587,2.986210584640503,-0.5056209564208984,0.1372680515050888,0.08437420427799225,-0.008208156563341618,0.0,0.0,68.54999999999986,0,81,212,84
ppo_optuna_trial_004_search,PPO,9,2009,-468.92677636900675,513,crash,False,False,-100.0,-1.0049153566360474,3.7575438022613525,-0.5455552339553833,0.16550977528095245,0.07013336569070816,-0.01492974441498518,0.0,0.0,93.6899999999997,0,112,290,111
ppo_optuna_trial_004_search,PPO,10,2010,-330.4104015323103,349,crash,False,False,-100.0,-1.003585696220398,2.8505971431732178,-0.540861964225769,0.14757251739501953,0.0729215070605278,-0.0031470139510929585,0.0,0.0,63.92999999999988,0,71,198,80
ppo_optuna_trial_004_search,PPO,11,2011,-227.16858518385848,215,crash,False,False,-100.0,1.0012153387069702,2.301035165786743,0.3496623635292053,0.32332754135131836,-0.046387821435928345,-0.023036789149045944,0.0,0.0,43.71000000000001,0,40,138,37
ppo_optuna_trial_004_search,PPO,12,2012,-424.29403313860576,504,crash,False,False,-100.0,-1.004244089126587,3.321120500564575,-0.5436669588088989,0.14534825086593628,0.058629244565963745,0.05865342542529106,0.0,0.0,96.92999999999967,0,100,303,101
ppo_optuna_trial_004_search,PPO,13,2013,-425.17819836510364,427,crash,False,False,-100.0,-1.0031009912490845,3.206915855407715,-0.6247848868370056,0.1521562933921814,0.037270817905664444,0.01440487615764141,0.0,0.0,80.30999999999977,0,88,250,89
ppo_optuna_trial_004_search,PPO,14,2014,-167.42330711868095,176,crash,False,False,-100.0,-1.0023561716079712,1.6697580814361572,-0.49806293845176697,0.10654659569263458,0.06595924496650696,0.06599677354097366,0.0,0.0,34.44000000000007,0,34,108,34
ppo_optuna_trial_004_search,PPO,15,2015,-195.00935361963653,195,crash,False,False,-100.0,-1.0045509338378906,1.9085339307785034,-0.6081324815750122,0.11554159969091415,0.018737917765975,0.022903164848685265,0.0,0.0,37.44000000000005,0,38,117,40
ppo_optuna_trial_004_search,PPO,16,2016,-690.4878393029823,1000,truncated,False,True,-3.1224541343490726,0.9140840768814087,6.292560577392578,0.32095402479171753,0.20359860360622406,-0.06549849361181259,-0.029913265258073807,0.0,0.0,186.33000000000172,0,213,579,208
ppo_optuna_trial_004_search,PPO,17,2017,-618.7005696934522,1000,truncated,False,True,2.367847235479617,-0.11295785754919052,6.186583042144775,-0.08667425811290741,0.09793197363615036,0.03865015134215355,-0.019746536388993263,0.0,0.0,180.9300000000015,0,226,559,215
ppo_optuna_trial_004_search,PPO,18,2018,-395.62398830222634,400,crash,False,False,-100.0,-1.0042493343353271,3.0993194580078125,-0.5609701871871948,0.1759449541568756,0.08898401260375977,0.003670673817396164,0.0,0.0,75.4499999999998,0,81,235,84
ppo_optuna_trial_004_search,PPO,19,2019,-417.5765120192452,432,crash,False,False,-100.0,-1.0055124759674072,3.3019649982452393,-0.5777288675308228,0.19536951184272766,0.04947511479258537,0.005906765349209309,0.0,0.0,76.67999999999982,0,97,236,99
