#{"t_start": 1784295729.774902, "env_id": "LunarLander-v3"}
r,l,t
-136.124349,100,0.027527
-136.493392,122,0.057829
-63.971389,112,0.084941
-83.039302,107,0.111237
-45.747765,70,0.128667
-71.839676,86,0.149865
-120.432122,104,0.174789
-221.964268,86,0.195718
-144.006323,87,0.217407
-337.997715,141,0.253902
-105.835494,81,0.584222
-273.549697,122,0.616457
-137.359382,104,0.643666
-93.642222,74,0.661815
-343.427535,111,0.688994
-368.045039,91,0.711886
-319.424209,120,0.742444
-98.372933,67,0.758584
-105.598223,95,0.782723
-141.854683,103,0.808637
-161.599236,94,1.144079
-173.08772,106,1.171035
-348.041743,130,1.204189
-179.553437,115,1.233566
-191.270055,80,1.254183
-431.473486,100,1.278486
-251.289857,74,1.297374
-240.114404,111,1.325833
-276.1071,120,1.35639
-330.507367,120,1.387351
-265.064945,102,1.726713
-100.456632,115,1.756646
-345.725927,105,1.784158
-129.100118,75,1.803874
-243.278455,109,1.831615
-419.774245,120,1.862436
-41.576556,80,1.882695
-94.295903,72,1.900565
-201.82701,119,1.93127
-195.18212,125,1.962875
-18.021809,224,2.339463
-228.08622,108,2.366915
-126.840449,196,2.420816
-275.999837,123,2.452735
-163.098295,119,2.483107
-536.83707,140,2.520413
-436.533581,156,2.87371
-409.49938,115,2.905579
-368.259196,200,2.963717
-233.622648,139,3.00114
-303.229319,233,3.069019
-286.091759,122,3.101227
-286.631021,142,3.140064
-126.758088,85,3.476019
-294.627861,125,3.508756
-462.187665,128,3.543163
-98.055037,119,3.574003
-151.832089,111,3.602114
-345.107692,98,3.627602
-304.481042,104,3.654621
-208.401942,96,3.68002
-606.285678,160,3.722533
-391.928629,99,4.061373
-298.949957,126,4.094259
-265.106897,148,4.131683
-192.71828,101,4.158768
-13.813921,115,4.189376
-110.595192,85,4.210636
-264.302247,117,4.240507
-139.113322,108,4.267163
-183.016092,83,4.288916
16.835462,100,4.315777
-367.133066,132,4.663536
-82.492786,144,4.703284
-65.116852,88,4.725917
-76.28008,125,4.75842
-96.697395,116,4.787703
-230.859025,159,4.830293
-320.004668,159,4.873637
-56.292886,101,4.89949
-445.658973,150,5.252271
-202.741858,116,5.281604
-80.009036,119,5.313076
-165.007565,125,5.346596
-3.899112,103,5.37351
-387.034751,126,5.407416
-154.410713,113,5.43717
-264.643536,217,5.813978
-140.605998,168,5.860818
-86.131812,241,5.938652
-135.922803,183,5.990262
-25.070403,160,6.034439
-149.368757,191,6.089836
-171.531433,158,6.451197
-69.65016,157,6.496407
-130.362156,238,6.568901
-102.521324,155,6.612489
-211.957818,189,6.666942
-458.359641,279,7.07356
-359.763746,200,7.13142
-309.583308,151,7.174469
-341.155429,237,7.243947
-62.207181,150,7.285072
-27.303266,222,7.674461
-15.583832,194,7.733508
-35.716528,255,7.810086
-70.907451,146,7.851504
-316.029587,227,7.919152
-45.332561,226,8.301677
-24.019414,158,8.346028
-29.203419,199,8.407367
-43.571189,187,8.461599
-19.675221,159,8.506761
-318.147004,247,8.58445
-46.72176,1000,9.501665
-48.428603,302,9.919595
-248.256971,494,10.160637
32.629649,1000,11.047168
-183.696269,242,11.12595
-50.394048,204,11.500203
-91.475506,415,11.671474
-100.045137,431,11.862667
-62.177767,1000,12.816069
-262.017667,451,13.320528
-64.459852,220,13.389869
-235.108757,257,13.471686
-7.932356,220,13.853158
1.596141,1000,14.900662
-34.040257,350,15.03175
30.107785,1000,16.028025
-191.140872,349,16.163577
9.087255,1000,17.1529
78.286552,1000,18.143464
54.322799,1000,19.268657
71.925717,1000,20.266822
54.490472,1000,21.327673
89.139937,1000,22.311459
68.084226,1000,23.196162
20.237397,266,23.286757
70.703533,1000,24.535772
74.196191,1000,25.493585
108.320087,1000,26.51278
65.586445,177,26.56452
-183.299585,213,26.946212
12.080851,169,26.995727
63.426406,1000,27.908714
60.177312,1000,29.110918
175.548326,1000,29.883797
109.872218,1000,30.795014
112.341546,1000,31.964302
30.429637,1000,33.203831
76.576672,1000,34.354137
68.458349,1000,35.453183
28.5542,1000,36.656917
186.415982,777,37.165199
180.631127,647,37.800175
183.915759,671,38.489624
234.894521,380,38.632745
220.664414,523,39.17946
84.508124,1000,39.631873
196.439081,529,40.204476
240.209265,567,40.795838
294.345347,630,41.105728
118.093943,1000,42.000332
222.039554,503,42.556951
232.878163,515,42.803572
267.813029,387,43.273542
234.497978,484,43.504491
9.685002,192,43.561341
282.163637,362,43.997118
190.954706,573,44.300955
288.375214,368,44.439016
