#{"t_start": 1784295332.069864, "env_id": "LunarLander-v3"}
r,l,t
-304.253193,113,13.822394
-173.661236,171,13.869689
-128.492456,250,13.94492
-152.385687,334,14.057524
-254.798715,188,14.109312
-127.879068,212,14.170275
-21.691156,282,14.261387
40.629897,1000,15.239042
-100.525354,210,15.303153
-135.050371,220,15.368387
-292.703631,192,15.422285
-209.283301,192,15.475825
-131.167039,223,15.540448
-12.817511,130,15.575539
-270.442377,272,15.8415
-203.05566,157,15.884481
-27.926705,213,15.944559
-242.796901,159,15.986917
-170.365774,210,16.04506
-76.31964,218,16.109962
131.635144,531,16.33938
-223.481449,224,16.404088
-45.153166,121,16.435545
9.191275,170,16.667779
-261.787519,179,16.717713
-19.516958,205,16.775542
-196.061932,183,16.826272
28.107219,211,16.886471
-44.382864,184,16.937357
-45.558545,212,16.998685
-236.623614,165,17.042835
-82.893966,175,17.091056
-36.163779,192,17.144617
100.98794,1000,17.991861
-177.784344,188,18.04992
-51.503689,279,18.142044
-382.248382,350,18.254915
-95.443184,328,18.376424
-166.761537,263,18.648654
-61.892391,216,18.710144
-60.519509,191,18.766153
-17.419921,208,18.827332
-78.942945,164,18.872578
44.542377,178,18.921764
27.731818,103,18.949011
-70.119322,211,19.009374
-216.892136,154,19.051263
-1.761847,212,19.113108
-185.206061,180,19.164559
103.923591,1000,19.873698
18.911807,191,19.930804
41.041605,173,19.980382
-61.735106,254,20.058695
-154.654577,173,20.107363
-35.226489,234,20.177895
107.480633,1000,20.81695
-79.973998,327,20.944928
15.619846,199,21.002005
