#{"t_start": 1784145503.742744, "env_id": "LunarLander-v3"}
r,l,t
-266.10168,137,11.522345
-162.448475,141,11.558376
-157.850256,237,11.626003
-69.263659,81,11.645726
-235.429836,194,11.697097
-90.96371,265,12.077061
-353.824512,141,12.113339
-153.415015,169,12.157265
-42.904527,108,12.18384
-57.852684,218,12.246805
-383.009766,175,12.293351
-44.206972,195,12.345969
-318.974094,139,12.381
-61.796075,113,12.409312
-174.108365,128,12.441383
-60.985684,197,12.495264
-155.202764,98,12.519543
-215.092019,116,12.548243
8.761633,140,12.583619
-77.850666,83,12.603885
-78.270787,225,12.968304
-11.302108,116,12.997223
-62.128428,89,13.018877
-70.029838,117,13.048277
-73.328886,92,13.070788
-50.10202,127,13.102414
-117.503688,113,13.129735
-103.588472,168,13.172485
-153.520071,170,13.217416
-74.230521,165,13.260589
-79.765119,203,13.316607
-67.966824,97,13.340302
-188.847304,125,13.371881
-58.53068,171,13.416351
-15.642091,127,13.74948
-37.15592,91,13.77187
-300.394803,146,13.809103
-171.878818,124,13.841329
-128.477175,133,13.8746
-191.484637,161,13.916704
-366.49206,219,13.979984
-16.952536,121,14.010393
-256.264659,163,14.053318
-268.581643,221,14.116752
-131.295732,147,14.15555
-242.715001,174,14.203829
-203.894242,188,14.253379
-56.402732,159,14.594365
-58.402356,172,14.63956
-53.286708,211,14.699914
-76.808667,91,14.722547
-47.945117,139,14.757996
-148.94297,134,14.791261
15.393842,159,14.833131
27.159292,1000,15.489024
-210.886338,109,15.517099
-266.019325,117,15.847939
-292.003543,135,15.882946
-45.111561,108,15.910003
-100.872449,159,15.951496
-179.052219,166,15.995003
-56.26947,125,16.027014
-300.434638,152,16.066334
-101.612661,197,16.120081
-275.094102,202,16.174664
-204.079256,179,16.222104
-32.946116,168,16.267694
-355.267857,214,16.325973
-119.149185,102,16.351763
-180.330972,217,16.711589
-172.742208,143,16.748198
-218.762125,233,16.815113
-126.507516,199,16.87064
-120.699634,161,16.912543
29.470127,85,16.933516
10.49348,143,16.970315
14.765077,247,17.043226
-28.271527,159,17.085859
9.450184,181,17.134714
-49.517108,118,17.165348
-241.384281,164,17.210472
-252.130509,288,17.598712
-318.454126,165,17.6432
-231.629932,161,17.686305
-293.822869,258,17.764308
-259.131691,255,17.837867
9.794111,146,17.876577
-215.697389,123,17.90753
-48.39293,135,17.943046
-238.354279,189,17.993402
-177.41245,211,18.054843
-204.704993,148,18.394178
-36.561415,255,18.471007
84.663135,1000,19.01385
-195.57803,109,19.042476
-248.41717,275,19.125757
-405.308306,223,19.189
-65.379209,146,19.22787
10.015849,109,19.564133
-264.574102,162,19.607253
-10.992014,152,19.647402
-11.958399,144,19.685965
109.858614,1000,20.306609
-17.588938,148,20.345373
-26.423922,202,20.401227
-2.922216,190,20.753306
-72.597221,199,20.807974
-18.315905,125,20.841097
-73.776298,86,20.862737
-17.941645,108,20.889846
-39.216727,169,20.935815
-53.580556,152,20.974537
-91.118493,177,21.023303
-53.914487,115,21.052573
-51.601269,163,21.098134
-184.519027,140,21.136213
-6.217631,100,21.16176
-265.813338,152,21.20322
-128.784574,233,21.270757
49.269727,199,21.627268
-150.230059,231,21.695568
-178.399193,158,21.736388
-45.765391,109,21.763879
-28.790743,175,21.810433
-57.13094,136,22.517447
-239.091527,185,22.568758
-78.991547,180,22.617333
-221.478103,189,22.669747
-275.272491,243,22.745453
-46.63019,166,22.789357
-18.662541,134,22.823914
-37.22489,169,23.169206
19.61209,201,23.230359
-69.512123,131,23.264614
-258.963559,177,23.312202
-107.309103,127,23.345124
-141.73914,149,23.385228
46.797572,1000,24.189061
-40.410909,217,24.554627
-57.780139,201,24.612734
-267.704413,262,24.694611
-175.79936,264,24.781798
64.740125,231,24.849031
-272.231146,259,24.929401
-359.481263,189,24.983046
-193.488545,188,25.037177
-283.575743,224,25.104459
-7.005158,176,25.472816
-161.112097,232,25.542552
-158.982229,203,25.602139
-48.521705,124,25.634647
-23.648509,187,25.688905
88.074232,1000,26.349924
-153.44231,145,26.389972
-176.963327,126,26.422886
-33.450631,185,26.776082
-78.208239,180,26.826599
-175.510234,215,26.887605
-48.908907,190,26.940639
-204.118345,210,26.998363
-2.989645,160,27.041395
51.392612,189,27.094014
-208.673874,196,27.153274
20.655996,1000,27.999007
-254.225028,233,28.065657
-307.150666,170,28.110668
-108.514975,207,28.166932
-1.158243,288,28.258042
-38.346198,208,28.31937
-167.242538,221,28.38397
-0.123124,1000,29.44958
1.578083,179,29.499968
-226.029232,249,29.57699
111.513341,1000,30.540622
-12.942353,120,30.573444
-268.886649,255,30.651049
9.85065,203,30.708004
-27.429699,141,30.74453
-9.702824,178,30.793517
-61.080376,148,30.832368
-57.250395,150,30.871352
-81.98249,203,30.927892
-8.814866,133,30.962786
-35.714419,195,31.017863
-8.344215,147,31.056148
-36.725303,134,31.394218
-54.994493,172,31.442417
22.978706,189,31.493521
-25.806471,134,31.528376
-149.157306,253,31.607684
15.353744,100,31.633438
-33.165061,108,31.661611
-71.067658,147,31.701013
5.223764,120,31.732278
-165.41515,153,31.773597
-48.645383,183,31.826203
-3.063953,182,31.877104
9.475431,137,31.915331
-62.235462,291,32.312871
-81.591955,191,32.367695
-8.571554,226,32.433623
-50.529344,164,32.478034
41.544504,142,32.515972
3.833932,146,32.556026
-19.641284,218,32.618681
-96.658278,213,32.679369
12.830425,137,32.715719
44.243362,1000,33.569401
-103.317442,214,33.633381
6.574772,1000,34.136809
32.87329,119,34.168385
-216.042996,168,34.511955
-13.241374,227,34.577755
-26.049638,316,34.687326
-236.043476,261,34.77334
-241.460206,208,34.83083
16.596385,1000,35.644547
-234.854624,282,35.739175
-170.858308,169,35.785665
-32.867283,144,35.824767
41.918251,1000,36.911711
-206.315279,157,36.955234
0.714235,189,37.009013
-59.722991,240,37.381396
19.992567,327,37.513011
-132.657263,513,37.704448
-228.185309,244,37.782655
-48.426486,190,37.837418
-153.305422,378,37.989324
-35.737951,242,38.067885
-63.447521,289,38.459671
-252.497075,355,38.597306
-23.086404,331,38.704722
-81.602729,421,38.869394
-79.801529,203,38.928699
-12.751084,204,38.986847
-42.603484,273,39.375735
-5.167773,170,39.423681
-41.650248,286,39.524901
28.821705,216,39.590919
52.560136,1000,40.202006
-9.971862,158,40.2465
-23.483936,409,40.724164
-3.261764,248,40.805257
-50.608986,239,40.877639
-27.346977,236,40.946165
-46.849478,195,41.002122
-94.884033,318,41.109721
-176.60981,409,41.249355
57.386787,1000,42.207184
2.863205,223,42.275193
-128.466577,464,42.457804
-37.56206,278,42.552238
-187.332407,244,42.624743
2.045779,428,43.098977
-61.979065,199,43.154677
-90.121593,511,43.402124
-169.988068,404,43.564667
12.476586,171,43.613352
-46.627544,210,43.679026
-37.689353,1000,44.546702
52.620523,1000,45.397237
-20.290931,314,45.801369
-65.350789,550,46.073176
80.524976,1000,46.680132
-204.877967,460,47.184977
-140.95332,289,47.278426
-234.808939,494,47.49206
-82.821481,570,47.785865
97.730994,1000,48.583626
-47.642189,307,48.688103
-115.292581,495,48.906987
-65.40487,353,49.03577
-47.006851,426,49.238253
-61.479515,494,49.745202
-67.126909,557,49.98378
-139.04438,1000,50.724487
92.613013,1000,51.47654
9.465803,265,51.554103
23.7761,387,51.697483
