#{"t_start": 1784145339.4240866, "env_id": "LunarLander-v3"}
r,l,t
-85.949559,79,10.227296
-48.959381,140,10.264323
-208.141146,240,10.334049
-50.045216,148,10.37205
-97.859559,95,10.395583
-95.686614,215,10.454641
-43.235099,103,10.48018
-21.750957,77,10.79309
-23.732911,94,10.816157
-83.252173,119,10.846123
-83.02321,87,10.867242
-100.301297,132,10.900259
-7.819055,219,10.962034
-22.634255,97,10.986239
-96.657528,94,11.009336
-96.94854,90,11.031721
-1.092747,139,11.067447
-38.843927,92,11.09004
-65.915444,129,11.122685
-107.226834,259,11.199943
-41.71492,100,11.224457
-51.847119,101,11.248972
-170.167362,107,11.275334
-158.966508,241,11.642665
-229.837307,176,11.690315
-156.154476,102,11.71578
-21.109546,153,11.755082
-26.897775,131,11.788519
-243.467649,201,11.842627
-28.196322,176,11.889714
-60.153462,188,11.939692
-45.046659,124,11.970544
-76.624805,243,12.042978
-229.227043,169,12.087649
-225.01286,191,12.141816
-157.231532,127,12.469656
-114.956039,146,12.507641
-34.813726,128,12.540504
-410.159278,266,12.620082
-6.921709,1000,13.191343
-263.632663,194,13.244025
-20.78637,127,13.276898
-341.72842,125,13.308326
-3.1471,127,13.635288
-179.277668,99,13.659968
-125.090015,138,13.695687
36.82764,136,13.73127
-3.836991,146,13.768611
-34.830467,171,13.813087
-160.631018,92,13.835753
-128.395642,234,13.903428
52.231262,211,13.96111
71.191145,137,13.997099
-33.777111,203,14.054339
-67.547764,150,14.093783
-47.676361,95,14.117377
-85.41629,115,14.145855
-124.627623,150,14.478956
-107.570188,124,14.509826
-365.61808,191,14.561445
-141.648683,111,14.587965
-3.544164,155,14.629812
-120.011968,102,14.656189
-440.099643,206,14.714939
-169.04317,77,14.73396
-155.691982,252,14.806328
-8.941782,112,14.834245
17.083322,154,14.873759
-474.029964,231,14.93649
-320.448555,266,15.310346
-66.794094,144,15.347954
7.071542,134,15.381596
-97.983923,138,15.416919
-202.976526,157,15.457641
-63.591511,150,15.498469
-48.135852,189,15.547572
-145.919879,302,15.644174
-27.54037,187,15.695392
-302.233869,169,15.739589
-173.814868,234,15.810242
-11.05594,134,15.844655
-10.462463,104,16.167799
-58.408857,192,16.22031
-193.990821,165,16.263892
-4.877293,142,16.301161
-15.19449,220,16.367034
-28.521664,182,16.416451
-81.354944,122,16.447234
-113.749192,156,16.488069
-85.799104,109,16.51535
26.024655,113,16.544141
-284.402125,184,16.593263
-60.224529,179,16.640451
11.925441,176,16.68669
-54.931979,189,17.032027
-82.807975,162,17.074432
-105.852119,153,17.11401
-195.168774,233,17.181804
26.01702,136,17.217522
7.05469,125,17.249721
-95.324163,216,17.310495
-280.408372,169,17.355013
-265.514357,200,17.411562
-149.161498,141,17.447723
-143.262759,179,17.496474
-198.243863,170,17.542489
-51.275684,118,17.866242
-251.973258,491,18.103526
-238.760794,219,18.166084
-378.109208,221,18.230054
-19.409596,108,18.258147
-63.065923,147,18.296417
-136.956848,224,18.360894
-8.854952,195,18.41475
-168.161472,258,18.499058
-203.999331,170,18.840386
41.011648,1000,19.723953
-268.599368,227,19.791666
-126.97009,296,19.890461
-233.996755,180,19.944381
-167.157138,229,20.018643
-247.026951,379,20.461208
25.395244,189,20.517235
-209.316039,190,20.568969
94.037824,1000,21.32646
-79.897616,205,21.383916
-93.158514,133,21.715353
-33.2473,172,21.761893
-60.367596,187,21.812854
-256.225574,226,21.881664
-119.68124,193,21.934291
-87.484638,174,22.501351
-41.174439,171,22.548175
-102.422997,188,22.599631
-12.716736,194,22.655315
5.862114,149,22.69578
-163.906867,172,22.742797
-152.920029,199,22.796857
-40.614418,385,23.240684
-49.100107,220,23.30685
-25.858898,220,23.369084
-151.257221,199,23.426363
46.197234,1000,24.135988
-17.126457,155,24.473848
22.390383,1000,25.293172
-46.282659,157,25.335276
-27.473207,117,25.365436
-27.140202,1000,26.202149
74.983841,1000,26.964449
27.471676,212,27.027781
-199.101976,265,27.108467
-264.496994,471,27.637507
-81.82079,363,27.778914
-458.488118,589,28.046916
-294.997395,407,28.21862
-101.808449,363,28.379323
-108.142389,606,29.000747
-208.56286,205,29.057871
-84.167582,346,29.174972
-194.918721,434,29.332859
43.796824,195,29.389597
1.479382,309,29.493563
-24.390013,1000,30.376186
-228.955534,374,30.514322
114.766103,1000,31.607141
-34.12037,1000,32.280645
11.900436,269,32.366644
-41.112507,397,32.523071
-144.568081,497,33.05435
-82.313667,486,33.247433
-202.312592,626,33.525767
179.863026,668,34.20473
-32.772734,1000,34.815869
-21.069362,1000,35.759351
195.876445,394,35.905917
-86.042653,527,36.106426
-94.372835,527,36.32182
86.108332,855,37.348073
79.232139,1000,38.249141
-128.863097,420,38.447069
-0.606905,1000,39.61783
-93.556012,546,39.880271
63.950145,1000,41.755531
125.720569,914,42.406506
48.09715,1000,43.407154
-44.057306,451,43.587111
84.801219,1000,44.098062
49.362846,334,44.230267
68.742274,1000,45.341883
-58.046295,1000,46.095771
-34.349091,1000,47.197844
9.518679,1000,47.75184
56.108222,1000,49.006084
110.207134,1000,49.798935
67.484001,1000,51.005363
194.688597,554,51.222156
56.616138,1000,52.290437
127.711283,1000,52.942699
46.846466,1000,53.929765
56.743344,1000,54.577944
105.293859,1000,55.518894
136.135975,1000,56.190213
65.380199,1000,57.239112
105.516496,1000,57.989742
103.113579,1000,58.522133
82.168077,1000,59.663988
100.418038,1000,60.374144
76.690005,1000,61.436904
-13.366071,294,61.527759
105.562352,1000,63.800683
101.684183,1000,64.345358
101.052064,1000,65.403535
122.764353,1000,65.936054
210.844848,488,66.145857
91.102485,1000,67.050103
79.655146,1000,67.600858
113.667811,1000,68.567705
30.144868,216,68.627632
221.736329,616,69.074897
-20.830258,419,69.222463
-87.887887,444,69.686831
102.448991,1000,70.399266
15.668789,278,70.481266
-24.01274,279,70.569941
129.918761,1000,71.439584
35.036364,273,71.522426
185.329112,606,71.843363
23.366705,360,71.981062
-0.888706,327,72.382571
76.790576,1000,72.978842
-80.654353,497,73.225587
136.238596,604,73.768228
94.45547,1000,74.509794
132.224346,1000,75.437921
160.177125,728,75.784852
17.616759,330,75.893624
-54.710527,588,76.284173
-74.993321,573,76.85751
104.403755,1000,77.603084
-99.087556,734,78.361871
99.027199,1000,79.208834
101.98196,1000,80.267604
58.860155,1000,81.095379
58.156163,1000,81.768341
-39.680384,365,83.504362
184.694592,410,83.663621
123.629131,1000,84.162755
-11.652651,284,84.254755
118.522082,1000,85.219275
83.545434,1000,85.988319
186.44163,763,86.70841
87.579153,1000,87.563155
109.279983,1000,88.494098
-31.489965,304,88.595789
102.662233,1000,89.274969
106.009473,874,90.157621
24.433235,226,90.228816
93.919761,1000,90.96132
96.872127,1000,91.833187
-42.353285,267,91.920016
6.855288,220,91.988229
-57.47458,1000,93.048331
-61.238505,1000,93.564224
-95.149771,743,94.282084
-30.646528,297,94.383328
-92.810878,315,94.497828
-18.204509,194,94.55333
-36.185234,309,94.655969
-62.514575,1000,95.539947
222.413103,511,95.804908
122.724342,1000,96.651983
-39.513652,288,96.746956
-63.482567,1000,97.769007
143.072587,1000,98.311892
180.851703,739,98.996944
90.227093,1000,99.572479
215.997005,920,100.496509
-71.860577,494,100.687619
118.407664,1000,101.535993
-20.793582,164,101.88544
-32.725129,577,102.987833
74.123408,1000,103.650922
